planning_id,title,body,labels,milestone,dependencies
AF-000,[AF-000] Establish Phase 0 documentation index,"## Objective

创建统一文档入口、阅读顺序和状态声明。

## Acceptance Criteria

- README 链接有效；明确当前无业务代码；禁止虚构已完成指标。

## Dependencies

`None`

## Required Process

- [ ] Read relevant architecture and ADR documents
- [ ] Create or update Design Note
- [ ] Define tests before implementation
- [ ] Confirm security impact
- [ ] Implement the smallest acceptable change
- [ ] Run tests and quality gates
- [ ] Update documentation and traceability matrix
- [ ] Open one PR linked to this Issue
- [ ] Wait for human review and merge

## Secret Handling

Use placeholders only. Do not request or expose real credentials in this Issue.","type:docs,priority:P0,size:S,status:ready",M0 Engineering System,
AF-001,[AF-001] Approve project charter,"## Objective

冻结使命、范围、成功标准和角色。

## Acceptance Criteria

- Charter 与 v2.0 一致；明确做/不做；具备变更控制。

## Dependencies

`AF-000`

## Required Process

- [ ] Read relevant architecture and ADR documents
- [ ] Create or update Design Note
- [ ] Define tests before implementation
- [ ] Confirm security impact
- [ ] Implement the smallest acceptable change
- [ ] Run tests and quality gates
- [ ] Update documentation and traceability matrix
- [ ] Open one PR linked to this Issue
- [ ] Wait for human review and merge

## Secret Handling

Use placeholders only. Do not request or expose real credentials in this Issue.","type:docs,type:governance,priority:P0,size:S,status:ready",M0 Engineering System,AF-000
AF-002,[AF-002] Approve architecture baseline,"## Objective

定义模块化单体、容器、状态所有权和信任边界。

## Acceptance Criteria

- LangGraph/Temporal 边界、State Ownership、Idempotency Contract 明确。

## Dependencies

`AF-001`

## Required Process

- [ ] Read relevant architecture and ADR documents
- [ ] Create or update Design Note
- [ ] Define tests before implementation
- [ ] Confirm security impact
- [ ] Implement the smallest acceptable change
- [ ] Run tests and quality gates
- [ ] Update documentation and traceability matrix
- [ ] Open one PR linked to this Issue
- [ ] Wait for human review and merge

## Secret Handling

Use placeholders only. Do not request or expose real credentials in this Issue.","type:architecture,priority:P0,risk:high,size:M,status:ready",M0 Engineering System,AF-001
AF-003,[AF-003] Approve quality strategies,"## Objective

建立测试、安全、可靠性和评测基线。

## Acceptance Criteria

- 每类策略有测试层级、Gate、证据和停止条件。

## Dependencies

`AF-002`

## Required Process

- [ ] Read relevant architecture and ADR documents
- [ ] Create or update Design Note
- [ ] Define tests before implementation
- [ ] Confirm security impact
- [ ] Implement the smallest acceptable change
- [ ] Run tests and quality gates
- [ ] Update documentation and traceability matrix
- [ ] Open one PR linked to this Issue
- [ ] Wait for human review and merge

## Secret Handling

Use placeholders only. Do not request or expose real credentials in this Issue.","type:test,type:security,priority:P0,risk:high,size:M,status:ready",M0 Engineering System,AF-002
AF-004,[AF-004] Establish GitHub governance,"## Objective

建立 Labels、Milestones、Issue/PR 模板和分支策略。

## Acceptance Criteria

- One Issue One PR；Human Merge；模板可用。

## Dependencies

`AF-001`

## Required Process

- [ ] Read relevant architecture and ADR documents
- [ ] Create or update Design Note
- [ ] Define tests before implementation
- [ ] Confirm security impact
- [ ] Implement the smallest acceptable change
- [ ] Run tests and quality gates
- [ ] Update documentation and traceability matrix
- [ ] Open one PR linked to this Issue
- [ ] Wait for human review and merge

## Secret Handling

Use placeholders only. Do not request or expose real credentials in this Issue.","type:governance,priority:P0,size:M,status:ready",M0 Engineering System,AF-001
AF-005,[AF-005] Establish AI collaboration protocol,"## Objective

约束 AI 多月持续开发。

## Acceptance Criteria

- 定义会话启动、设计、测试、实现、Handoff 和停止条件。

## Dependencies

`AF-001`

## Required Process

- [ ] Read relevant architecture and ADR documents
- [ ] Create or update Design Note
- [ ] Define tests before implementation
- [ ] Confirm security impact
- [ ] Implement the smallest acceptable change
- [ ] Run tests and quality gates
- [ ] Update documentation and traceability matrix
- [ ] Open one PR linked to this Issue
- [ ] Wait for human review and merge

## Secret Handling

Use placeholders only. Do not request or expose real credentials in this Issue.","type:docs,type:ai-process,priority:P0,size:M,status:ready",M0 Engineering System,AF-001
AF-006,[AF-006] Accept initial ADR set,"## Objective

把冻结范围转化为 ADR。

## Acceptance Criteria

- 至少 12 个 ADR 标记 Accepted。

## Dependencies

`AF-002`

## Required Process

- [ ] Read relevant architecture and ADR documents
- [ ] Create or update Design Note
- [ ] Define tests before implementation
- [ ] Confirm security impact
- [ ] Implement the smallest acceptable change
- [ ] Run tests and quality gates
- [ ] Update documentation and traceability matrix
- [ ] Open one PR linked to this Issue
- [ ] Wait for human review and merge

## Secret Handling

Use placeholders only. Do not request or expose real credentials in this Issue.","type:architecture,priority:P0,size:M,status:ready",M0 Engineering System,AF-002
AF-007,[AF-007] Create configuration placeholder contract,"## Objective

定义配置项，不写真实密钥。

## Acceptance Criteria

- .env.example 全为占位符；配置所有权明确。

## Dependencies

`AF-003`

## Required Process

- [ ] Read relevant architecture and ADR documents
- [ ] Create or update Design Note
- [ ] Define tests before implementation
- [ ] Confirm security impact
- [ ] Implement the smallest acceptable change
- [ ] Run tests and quality gates
- [ ] Update documentation and traceability matrix
- [ ] Open one PR linked to this Issue
- [ ] Wait for human review and merge

## Secret Handling

Use placeholders only. Do not request or expose real credentials in this Issue.","type:security,type:docs,priority:P0,size:S,status:ready",M0 Engineering System,AF-003
AF-008,[AF-008] Prepare documentation-only repository scaffold,"## Objective

创建文档目录和 GitHub 模板，不写业务代码。

## Acceptance Criteria

- 仓库只含文档/config templates；manifest 验证无业务代码。

## Dependencies

`AF-000,AF-004,AF-007`

## Required Process

- [ ] Read relevant architecture and ADR documents
- [ ] Create or update Design Note
- [ ] Define tests before implementation
- [ ] Confirm security impact
- [ ] Implement the smallest acceptable change
- [ ] Run tests and quality gates
- [ ] Update documentation and traceability matrix
- [ ] Open one PR linked to this Issue
- [ ] Wait for human review and merge

## Secret Handling

Use placeholders only. Do not request or expose real credentials in this Issue.","type:docs,type:repo,priority:P0,size:S,status:ready",M0 Engineering System,"AF-000,AF-004,AF-007"
AF-101,[AF-101] Create modular monolith application skeleton,"## Objective

建立 FastAPI 模块边界和最小 health contract。

## Acceptance Criteria

- 模块目录存在；只有骨架接口；测试先行。

## Dependencies

`AF-008`

## Required Process

- [ ] Read relevant architecture and ADR documents
- [ ] Create or update Design Note
- [ ] Define tests before implementation
- [ ] Confirm security impact
- [ ] Implement the smallest acceptable change
- [ ] Run tests and quality gates
- [ ] Update documentation and traceability matrix
- [ ] Open one PR linked to this Issue
- [ ] Wait for human review and merge

## Secret Handling

Use placeholders only. Do not request or expose real credentials in this Issue.","type:backend,priority:P0,size:M,status:blocked",M1 Demand to Plan,AF-008
